Original Entry Date,Task,Description,Employee Number,Employee Name,Expense Comment,Quantity Reg,Cost Reg,Billing Price Reg,Open Billing Price,Billing Price Inv,Closed,Origin,Entry Type,Activity Number
02/12/2023,200,"Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.",166447,Henrietta Shanklin,,10.7,710.52,0,0,0,true,Time Sheet,Registration,750
29/04/2023,100,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh.",160732,Keir Seczyk,,9.6,410.0,0,0,0,true,Time Sheet,Registration,750
14/12/2023,700,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",163475,Debor Pikesley,,0.4,311.62,0,0,0,true,Time Sheet,Registration,750
09/09/2023,700,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",160433,Masha Clixby,,4.9,554.62,0,0,0,true,Time Sheet,Registration,750
31/12/2023,200,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",165870,Micheal Pilmore,,0.5,161.57,0,0,0,true,Time Sheet,Registration,750
19/06/2024,400,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",169556,Lowell Gobolos,,10.4,118.65,0,0,0,true,Time Sheet,Registration,750
05/06/2023,400,Nulla tellus.,162441,Roxy Lambird,,9.5,977.58,0,0,0,true,Time Sheet,Registration,750
27/04/2023,700,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.",161276,Walker Cristoferi,,10.4,259.67,0,0,0,true,Time Sheet,Registration,750
17/07/2024,200,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",165986,Ives Hamly,,4.6,539.4,0,0,0,true,Time Sheet,Registration,750
17/07/2024,100,"Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",161195,Jesselyn McIlharga,,3.4,370.2,0,0,0,true,Time Sheet,Registration,750
15/09/2023,700,"Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat.",160362,Sela Snailham,,9.1,991.26,0,0,0,true,Time Sheet,Registration,750
28/09/2023,200,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",165485,Shaylynn Spottiswoode,,8.3,763.69,0,0,0,true,Time Sheet,Registration,750
08/04/2024,200,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.",166822,Linette Udell,,9.4,669.16,0,0,0,true,Time Sheet,Registration,750
01/11/2023,100,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",162799,Alana Sperrett,,0.1,530.25,0,0,0,true,Time Sheet,Registration,750
01/09/2023,400,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",161815,Brunhilde Foyster,,2.0,632.88,0,0,0,true,Time Sheet,Registration,750
12/11/2023,200,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",163133,Oliviero Maskelyne,,7.2,172.1,0,0,0,true,Time Sheet,Registration,750
22/09/2023,100,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",162892,Claudetta Chilcott,,2.0,949.28,0,0,0,true,Time Sheet,Registration,750
11/01/2024,200,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,169580,Raina Dibbs,,5.9,159.71,0,0,0,true,Time Sheet,Registration,750
15/06/2023,200,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",164619,Nevin Dakin,,0.5,788.4,0,0,0,true,Time Sheet,Registration,750
22/08/2023,700,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,164457,Rabi Fricke,,2.4,202.85,0,0,0,true,Time Sheet,Registration,750
29/09/2023,400,"Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",169468,Olympia Le Franc,,5.9,191.0,0,0,0,true,Time Sheet,Registration,750
13/12/2023,100,"Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",168614,Tresa McAlees,,4.1,606.05,0,0,0,true,Time Sheet,Registration,750
19/11/2023,700,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",166875,Ddene Matanin,,8.8,684.29,0,0,0,true,Time Sheet,Registration,750
09/07/2024,400,Fusce consequat.,167655,Cecil Leggatt,,0.3,422.91,0,0,0,true,Time Sheet,Registration,750
29/06/2023,700,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,161548,Shelia Bentall,,5.0,767.61,0,0,0,true,Time Sheet,Registration,750
09/11/2023,700,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",164761,Niall Nutting,,0.5,441.11,0,0,0,true,Time Sheet,Registration,750
05/10/2023,400,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",161098,Aida Lokier,,3.3,731.53,0,0,0,true,Time Sheet,Registration,750
27/06/2024,400,Vestibulum rutrum rutrum neque.,168845,Andriana Forster,,0.1,768.78,0,0,0,true,Time Sheet,Registration,750
12/06/2023,700,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",161327,Wolfie Deeth,,0.5,290.94,0,0,0,true,Time Sheet,Registration,750
27/07/2023,400,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",160813,Kore Cripwell,,10.6,3.21,0,0,0,true,Time Sheet,Registration,750
25/09/2023,100,Suspendisse accumsan tortor quis turpis.,169679,Tedie Causey,,4.4,768.34,0,0,0,true,Time Sheet,Registration,750
20/05/2024,100,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",165380,Reynard Purse,,8.9,354.8,0,0,0,true,Time Sheet,Registration,750
21/07/2024,700,Suspendisse potenti. In eleifend quam a odio.,167820,Mira MacRitchie,,5.9,447.14,0,0,0,true,Time Sheet,Registration,750
27/01/2024,200,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",164184,Pia Berger,,8.7,257.96,0,0,0,true,Time Sheet,Registration,750
07/10/2023,700,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,167397,Vere Wloch,,3.8,671.96,0,0,0,true,Time Sheet,Registration,750
24/04/2024,100,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",169663,Beatriz O'Flaherty,,8.4,726.32,0,0,0,true,Time Sheet,Registration,750
16/04/2023,100,"Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",163456,Kenon Durban,,9.6,41.24,0,0,0,true,Time Sheet,Registration,750
14/04/2023,700,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",168234,Prince Downse,,2.7,255.39,0,0,0,true,Time Sheet,Registration,750
13/01/2024,100,Proin at turpis a pede posuere nonummy.,168717,Darbee McNirlin,,8.9,644.85,0,0,0,true,Time Sheet,Registration,750
16/12/2023,100,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",162969,Garik Bennis,,8.5,1.14,0,0,0,true,Time Sheet,Registration,750
04/10/2023,100,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",165196,Andy Lebreton,,2.8,171.27,0,0,0,true,Time Sheet,Registration,750
16/12/2023,700,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",161930,Cammy Mateev,,6.2,322.71,0,0,0,true,Time Sheet,Registration,750
03/06/2023,200,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",161110,Jannel Blundan,,0.7,962.14,0,0,0,true,Time Sheet,Registration,750
10/04/2023,400,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo.",161884,Casi Milne,,7.4,33.76,0,0,0,true,Time Sheet,Registration,750
